Key,id,Spanish(es),Spanish (Ecuador)(es-EC),French(fr),English(en)
I001,1,Titulo objeto 1,Titulo objeto 1,Titulo objeto 1,Titulo objeto 1
I002,2,Sub titulo objeto1,Sub titulo objeto1,Sub titulo objeto1,Sub titulo objeto1
I003,3,"""On the other hand, we denounce with righteous indignation and dislike men who are so beguiled and demoralized by the charms of pleasure of the moment, so blinded by desire, that they cannot foresee the pain and trouble that are bound to ensue; and equal blame belongs to those who fail in their duty through weakness of will, which is the same as saying through shrinking from toil and pain. These cases are perfectly simple and easy to distinguish. In a free hour, when our power of choice is untrammelled and when nothing prevents our being able to do what we like best, every pleasure is to be welcomed and every pain avoided. But in certain circumstances and owing to the claims of duty or the obligations of business it will frequently occur that pleasures have to be repudiated and annoyances accepted. The wise man therefore always holds in these matters to this principle of selection: he rejects pleasures to secure other greater pleasures, or else he endures pains to avoid worse pains.""","""On the other hand, we denounce with righteous indignation and dislike men who are so beguiled and demoralized by the charms of pleasure of the moment, so blinded by desire, that they cannot foresee the pain and trouble that are bound to ensue; and equal blame belongs to those who fail in their duty through weakness of will, which is the same as saying through shrinking from toil and pain. These cases are perfectly simple and easy to distinguish. In a free hour, when our power of choice is untrammelled and when nothing prevents our being able to do what we like best, every pleasure is to be welcomed and every pain avoided. But in certain circumstances and owing to the claims of duty or the obligations of business it will frequently occur that pleasures have to be repudiated and annoyances accepted. The wise man therefore always holds in these matters to this principle of selection: he rejects pleasures to secure other greater pleasures, or else he endures pains to avoid worse pains.""","""On the other hand, we denounce with righteous indignation and dislike men who are so beguiled and demoralized by the charms of pleasure of the moment, so blinded by desire, that they cannot foresee the pain and trouble that are bound to ensue; and equal blame belongs to those who fail in their duty through weakness of will, which is the same as saying through shrinking from toil and pain. These cases are perfectly simple and easy to distinguish. In a free hour, when our power of choice is untrammelled and when nothing prevents our being able to do what we like best, every pleasure is to be welcomed and every pain avoided. But in certain circumstances and owing to the claims of duty or the obligations of business it will frequently occur that pleasures have to be repudiated and annoyances accepted. The wise man therefore always holds in these matters to this principle of selection: he rejects pleasures to secure other greater pleasures, or else he endures pains to avoid worse pains.""","""On the other hand, we denounce with righteous indignation and dislike men who are so beguiled and demoralized by the charms of pleasure of the moment, so blinded by desire, that they cannot foresee the pain and trouble that are bound to ensue; and equal blame belongs to those who fail in their duty through weakness of will, which is the same as saying through shrinking from toil and pain. These cases are perfectly simple and easy to distinguish. In a free hour, when our power of choice is untrammelled and when nothing prevents our being able to do what we like best, every pleasure is to be welcomed and every pain avoided. But in certain circumstances and owing to the claims of duty or the obligations of business it will frequently occur that pleasures have to be repudiated and annoyances accepted. The wise man therefore always holds in these matters to this principle of selection: he rejects pleasures to secure other greater pleasures, or else he endures pains to avoid worse pains."""
I004,4,Titulo objeto 1,Titulo objeto 1,Titulo objeto 1,Titulo objeto 1
I005,5,Sub titulo objeto1,Sub titulo objeto1,Sub titulo objeto1,Sub titulo objeto1
I006,6,Info objeto 1,Info objeto 1,Info objeto 1,Info objeto 1
I007,7,Titulo objeto 1,Titulo objeto 1,Titulo objeto 1,Titulo objeto 1
I008,8,Sub titulo objeto1,Sub titulo objeto1,Sub titulo objeto1,Sub titulo objeto1
I009,9,Info objeto 1,Info objeto 1,Info objeto 1,Info objeto 1
I010,10,Titulo objeto 1,Titulo objeto 1,Titulo objeto 1,Titulo objeto 1
I011,11,Sub titulo objeto1,Sub titulo objeto1,Sub titulo objeto1,Sub titulo objeto1
I012,12,Info objeto 1,Info objeto 1,Info objeto 1,Info objeto 1
I013,13,Titulo objeto 1,Titulo objeto 1,Titulo objeto 1,Titulo objeto 1
I014,14,Sub titulo objeto1,Sub titulo objeto1,Sub titulo objeto1,Sub titulo objeto1
I015,15,Info objeto 1,Info objeto 1,Info objeto 1,Info objeto 1
